stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Bernau(b Berlin),547393,210866,52.675426,13.591859,
Biberach ZOB/Bahnhof,,323803,48.101456,9.792795,1
Biberach(Riß),323803,240764,48.101936,9.792939,
Biberach(Riß),323803,484373,48.101994,9.793155,
Bielefeld Hbf,,379412,52.029263,8.53272,1
Bielefeld Hbf,379412,196018,52.029522,8.533106,
Bielefeld Hbf,379412,493182,52.02962,8.532917,
Bingen(Rhein) Hbf,362202,546001,49.969147,7.882717,
"Bingen, Hauptbahnhof",,362202,49.96874,7.883543,1
Binz (Ostseebad),,5514,54.404823,13.600502,1
Bischofshofen,,238885,47.41786,13.219888,1
Bischofshofen,238885,261806,47.41786,13.219888,
Bitterfeld,,354335,51.62286,12.31685,1
Bitterfeld,354335,291877,51.62286,12.31685,
Bludenz,,301851,47.154724,9.814564,1
Bludenz,301851,502627,47.154724,9.814564,
Bochnia,,217735,49.9773,20.430775,1
Bochnia,217735,133195,49.9773,20.430775,
Bochum Hbf,,436354,51.479465,7.223335,1
Bochum Hbf,436354,273070,51.478394,7.222859,
Bochum Hbf,436354,421874,51.47853,7.222715,
Bochum Hbf,436354,428300,51.478252,7.223012,
Bohumin,,378189,49.90073,18.359444,1
Bohumin,378189,46743,49.90073,18.359444,
Bologna Centrale,,440081,44.50614,11.343411,1
Bologna Centrale,440081,169059,44.50614,11.343411,
Bolzano/Bozen,,544872,46.496376,11.358791,1
Bolzano/Bozen,544872,583821,46.496376,11.358791,
Bondorf,,137276,48.52327,8.827879,1
Bondorf(b Herrenberg),137276,224482,48.52328,8.827735,
Bondorf(b Herrenberg),137276,403720,48.523552,8.827662,
Bondorf(b Herrenberg),137276,56188,48.52329,8.827852,
Bonn Bad Godesberg Bf,,2648,50.683918,7.159555,1
Bonn Hbf,,613446,50.732006,7.097131,1
Bonn Hbf,613446,109395,50.731956,7.097364,
Bonn Hbf,613446,335155,50.731834,7.097284,
Bonn Hbf,613446,539932,50.731754,7.097212,
Bonn-Bad Godesberg,2648,88857,50.683926,7.159555,
Boppard Hauptbahnhof,,399923,50.231403,7.586084,1
Boppard Hbf,399923,804,50.231422,7.586014,
Brandenburg Hbf,271749,114591,52.400276,12.565075,
Brandenburg Hbf,271749,431866,52.40021,12.565134,
"Brandenburg, Hauptbahnhof",,271749,52.400795,12.566036,1
Bratislava hl.st.,,328099,48.15891,17.106466,1
Bratislava hl.st.,328099,472220,48.15891,17.106466,
Braunschweig Hbf,475856,391782,52.25227,10.54085,
Braunschweig Hbf,475856,500480,52.25223,10.540921,
"Braunschweig, Hauptbahnhof",,475856,52.252644,10.539547,1
Breclav,,549651,48.7539,16.893236,1
Breclav,549651,151084,48.7539,16.893236,
Breclav(Gr),,186607,48.71265,16.86837,1
Breclav(Gr),186607,495264,48.71265,16.86837,
Bregenz,,380092,47.503002,9.739627,1
Bregenz,380092,325134,47.503002,9.739627,
Bregenz Riedenburg,,76387,47.49291,9.721313,1
Bregenz Riedenburg,76387,204491,47.49291,9.721313,
Bremen Hbf,,3210,53.083256,8.813857,1
Bremen Hbf,3210,32333,53.082947,8.813447,
Bremen Hbf,3210,326802,53.083275,8.813879,
Bremen Hbf,3210,44981,53.08342,8.814067,
Bremen Hbf,3210,466233,53.083355,8.813982,
Bremen Hbf,3210,470833,53.083073,8.813611,
Bremen Hbf,3210,506479,53.083565,8.81426,
Bremen Hbf,3210,608778,53.0835,8.81418,
Brennero/Brenner,,628044,47.002342,11.505426,1
Brennero/Brenner,628044,261030,47.002342,11.505426,
Bressanone/Brixen,,522122,46.709896,11.649764,1
Bressanone/Brixen,522122,170978,46.709896,11.649764,
Brig,,122043,46.319424,7.988095,1
Brig,122043,4317,46.319424,7.988095,
Brno hl.n.,,603140,49.19054,16.612774,1
Brno hl.n.,603140,51607,49.19054,16.612774,
Bruchsal,,342390,49.124924,8.590347,1
Bruchsal,342390,567152,49.125053,8.590275,
Bruchsal,342390,65174,49.12513,8.589924,
Bruchsal,342390,76022,49.125088,8.590113,
Brugg AG,,522246,47.48086,8.208845,1
Brugg AG,522246,300349,47.48086,8.208845,
Bruxelles Midi,,601007,50.835377,4.335694,1
Bruxelles Midi,601007,121392,50.835377,4.335694,
Bruxelles-Nord,,295209,50.860237,4.361454,1
Bruxelles-Nord,295209,238435,50.860237,4.361454,
Buchloe,,35381,48.033722,10.716219,1
Buchloe,35381,101731,48.033638,10.716084,
Buchloe,35381,283393,48.03355,10.716389,
Buchloe,35381,630351,48.033585,10.716273,
Budapest-Kelenföld,,25193,47.464355,19.020456,1
Budapest-Kelenföld,25193,187995,47.464355,19.020456,
Budapest-Keleti,,251627,47.50038,19.085072,1
Budapest-Keleti,251627,250855,47.50038,19.085072,
Budapest-Nyugati,,390583,47.510708,19.057467,1
Budapest-Nyugati,390583,133954,47.510708,19.057467,
Bydgoszcz Glowna,,429818,53.135113,17.991636,1
Bydgoszcz Glowna,429818,184484,53.135113,17.991636,
Böblingen,,177633,48.687847,9.004533,1
Böblingen,177633,544588,48.687847,9.004641,
Böblingen,177633,589429,48.688004,9.00438,
Büchen,360935,448084,53.474976,10.623292,
"Büchen, Büchen",,360935,53.47663,10.620937,1
Bünde(Westf),383254,281665,52.202274,8.574509,
Bünde(Westf),383254,604818,52.20239,8.574419,
"Bünde, Bahnhof / ZOB",,383254,52.202076,8.573871,1
Bützow,313813,371624,53.83715,11.998132,
Bützow,313813,453632,53.83704,11.997872,
Bützow Bahnhof,,313813,53.837006,11.997513,1
Celle,247863,511811,52.620457,10.062468,
Celle Bahnhof,,247863,52.62075,10.064787,1
Chemnitz Hbf,107765,281786,50.83933,12.930952,
Chemnitz Hbf,107765,305881,50.84002,12.930907,
Chemnitz Hbf,107765,373364,50.84004,12.930799,
Chemnitz Hbf,107765,386124,50.84013,12.930215,
"Chemnitz, Hauptbahnhof",,107765,50.83963,12.930692,1
Chur,,352943,46.853085,9.528938,1
Chur,352943,9728,46.853085,9.528938,
Coburg,,2073,50.262924,10.957326,1
Coburg,2073,154666,50.263447,10.957201,
Coburg,2073,300316,50.26347,10.957452,
Cottbus Hbf,385338,330771,51.751553,14.323517,
Cottbus Hbf,385338,51356,51.751488,14.323561,
"Cottbus, Hauptbahnhof",,385338,51.750984,14.324464,1
Crailsheim,419359,221565,49.138126,10.064572,
Crailsheim,419359,598462,49.13812,10.064814,
Crailsheim Bahnhof,,419359,49.137913,10.06432,1
Czechowice-Dziedzice,,56196,49.915104,19.00465,1
Czechowice-Dziedzice,56196,333231,49.915104,19.00465,
D-Flughafen Bf,,508171,51.292088,6.786979,1
Dagebüll Kirche,,58353,54.73058,8.729632,1
Dagebüll Kirche,58353,343657,54.73028,8.729485,
Dagebüll Mole,,488627,54.73011,8.690239,1
Dagebüll Mole,488627,618651,54.729908,8.690989,
Darmstadt Hauptbahnhof,,134710,49.87194,8.631148,1
Darmstadt Hbf,134710,395451,49.87304,8.629164,
Debica,,597536,50.054417,21.405565,1
Debica,597536,45727,50.054417,21.405565,
Decin hl.n.,,223365,50.773193,14.200972,1
Decin hl.n.,223365,202412,50.773415,14.201247,
Deezbüll,,87819,54.77697,8.818274,1
Deezbüll,87819,84651,54.77697,8.818274,
Delmenhorst,,148075,53.05278,8.629879,1
Delmenhorst,148075,171839,53.05279,8.629758,
Dessau Hbf,,502984,51.839867,12.234945,1
Dessau Hbf,502984,358785,51.839867,12.234945,
Deventer,,342031,52.257435,6.160506,1
Deventer,342031,143308,52.257435,6.160506,
Diepholz,,437271,52.6046,8.380249,1
Diepholz,437271,257752,52.604637,8.38013,
Diepholz,437271,480700,52.6046,8.380267,
Dillenburg,146020,431088,50.734905,8.294586,
Dillenburg Bahnhof,,146020,50.734905,8.294586,1
Doberlug-Kirchhain,104872,130673,51.62053,13.564161,
Doberlug-Kirchhain,104872,605599,51.620533,13.564268,
"Doberlug-Kirchhain, Bahnhof",,104872,51.62061,13.564187,1
Dobova,,243342,45.89839,15.655178,1
Dobova,243342,161783,45.89839,15.655178,
Dobova(Gr),,584581,45.890633,15.680238,1
Dobova(Gr),584581,313399,45.890633,15.680238,
Donaueschingen,529423,168613,47.94808,8.498727,
Donaueschingen,529423,533093,47.94801,8.4987,
Donaueschingen Bahnhof,,529423,47.94753,8.499428,1
Donauwörth,,598410,48.714024,10.771447,1
Donauwörth,598410,170743,48.71413,10.771654,
Donauwörth,598410,353813,48.71402,10.771564,
Dorfgastein,,587202,47.23867,13.103062,1
Dorfgastein,587202,491759,47.23867,13.103062,
Dornbirn,,445066,47.41769,9.738808,1
Dornbirn,445066,228333,47.41769,9.738808,
Dortmund Hbf,,585471,51.51689,7.459592,1
Dortmund Hbf,585471,153960,51.517895,7.45929,
Dortmund Hbf,585471,17575,51.517883,7.458721,
Dortmund Hbf,585471,267939,51.517723,7.458775,
Dortmund Hbf,585471,334837,51.518063,7.458685,
Dortmund Hbf,585471,551849,51.51796,7.458703,
Dortmund Hbf,585471,630467,51.5176,7.458793,
Dortmund Hörde Bf,,436487,51.488186,7.499918,1
Dortmund-Hörde,436487,225499,51.487774,7.500286,
Dresden Bahnhof Neustadt,,541395,51.065426,13.740882,1
Dresden Hauptbahnhof,,537345,51.03993,13.732932,1
Dresden Hbf,537345,441026,51.040684,13.731863,
Dresden Hbf,537345,479333,51.040016,13.731531,
Dresden Hbf,537345,579695,51.039875,13.731396,
Dresden-Neustadt,541395,210372,51.06591,13.740541,
Dresden-Neustadt,541395,443010,51.065994,13.740424,
Dresden-Neustadt,541395,56530,51.066017,13.740352,
Dresden-Neustadt,541395,74432,51.066097,13.740235,
Duisburg Hbf,,105593,51.430454,6.774528,1
Duisburg Hbf,105593,174071,51.42997,6.775902,
Duisburg Hbf,105593,179224,51.42987,6.776801,
Duisburg Hbf,105593,264586,51.43,6.775696,
Duisburg Hbf,105593,273426,51.43001,6.775624,
Duisburg Hbf,105593,372209,51.429867,6.776882,
Duisburg Hbf,105593,559649,51.429787,6.775903,
Duisburg Hbf,105593,608448,51.429836,6.777088,
Düren,,569047,50.809517,6.482451,1
Düren,569047,593989,50.809517,6.482451,
Düsseldorf Flughafen,508171,17031,51.292007,6.786836,
Düsseldorf Flughafen,508171,562015,51.291367,6.787158,
Düsseldorf Flughafen,508171,565985,51.29135,6.786853,
Düsseldorf Hbf,,233032,51.220253,6.792997,1
Düsseldorf Hbf,233032,204453,51.220093,6.793644,
Düsseldorf Hbf,233032,236041,51.219315,6.795261,
Düsseldorf Hbf,233032,358154,51.219433,6.795027,
Düsseldorf Hbf,233032,390973,51.219543,6.794776,
Düsseldorf Hbf,233032,50216,51.219612,6.794632,
Düsseldorf Hbf,233032,548947,51.219505,6.794866,
Düsseldorf Hbf,233032,615430,51.219963,6.794319,
Düsseldorf Hbf,233032,64322,51.219395,6.795099,
Eberswalde Hbf,546091,218816,52.83376,13.796866,
Eberswalde Hbf,546091,49852,52.833755,13.797157,
Eberswalde Hbf,546091,604081,52.833805,13.796755,
"Eberswalde, Hauptbahnhof",,546091,52.833683,13.79695,1
Eindhoven Centraal,,510813,51.44302,5.479576,1
Eindhoven Centraal,510813,629657,51.44302,5.479576,
Eisenach Hbf,406635,513559,50.975952,10.331229,
"Eisenach, Hbf",,406635,50.976894,10.331974,1
Ellwangen,603736,520771,48.96439,10.129664,
Ellwangen Bahnhof,,603736,48.964535,10.129762,1
Elsterwerda,193652,258399,51.46012,13.51666,
Elsterwerda,193652,318613,51.45942,13.516226,
Elsterwerda,193652,35939,51.459404,13.516305,
"Elsterwerda, Bahnhof",,193652,51.459805,13.516412,1
Emden Außenhafen,356310,101272,53.344498,7.186394,
Emden Hbf,423155,89031,53.36933,7.195423,
Emden(Ostfriesl) Außenhafen,,356310,53.344498,7.186394,1
Emden(Ostfriesl) Hbf,,423155,53.36925,7.195502,1
Engen,609873,285468,47.8561,8.772597,
Engen Bahnhof,,609873,47.856007,8.772561,1
"Erfurt, Hauptbahnhof",,257226,50.972057,11.037305,1
Ergenzingen,270480,109456,48.489243,8.809751,
Ergenzingen,270480,621380,48.48959,8.810191,
Ergenzingen Bahnhof,,270480,48.489594,8.809949,1
Erkelenz,,249176,51.076595,6.321634,1
Erkelenz,249176,196266,51.076595,6.321634,
Erlangen,,498895,49.595825,11.00164,1
Erlangen,498895,15911,49.596157,11.001488,
Erlangen,498895,202536,49.596188,11.001685,
Essen Hbf,,626286,51.449734,7.012213,1
Essen Hbf,626286,150559,51.451363,7.014001,
Essen Hbf,626286,187916,51.45151,7.013974,
Essen Hbf,626286,241025,51.451355,7.014793,
Essen Hbf,626286,420333,51.451736,7.013938,
Essen Hbf,626286,82736,51.45159,7.013956,
Esslingen (N),,175841,48.73854,9.300582,1
Esslingen(Neckar),175841,216192,48.738747,9.300725,
Esslingen(Neckar),175841,265063,48.73857,9.300617,
Esslingen(Neckar),175841,341643,48.738464,9.300555,
Esslingen(Neckar),175841,447488,48.738544,9.300522,
Eutingen im Gäu,352514,331408,48.479954,8.782236,
Eutingen im Gäu,352514,65648,48.479736,8.782361,
Eutingen im Gäu Bahnhof,,352514,48.47957,8.781643,1
Feldkirch,,183395,47.24098,9.604102,1
Feldkirch,183395,410424,47.24098,9.604102,
Fieberbrunn,,554365,47.49114,12.528944,1
Fieberbrunn,554365,46510,47.49114,12.528944,
Finnentrop,391278,331430,51.173046,7.964563,
Finnentrop,391278,417957,51.1729,7.96467,
Finnentrop Bf,,391278,51.173046,7.964562,1
Firenze Campo di Marte,,266507,43.777573,11.276586,1
Firenze Campo di Marte,266507,565822,43.777573,11.276586,
Fischen,,571338,47.456596,10.271723,1
"Fischen, Bahnhof",571338,603780,47.4566,10.271032,
Flensburg,,486832,54.774048,9.436687,1
Flensburg,486832,196722,54.773857,9.436511,
Flensburg [Grenze],,47614,54.814842,9.36324,1
Flensburg(Gr),47614,298549,54.814842,9.36324,
"Flensburg, Flensburg",486832,182098,54.774227,9.436848,
Flughafen BER,,506612,52.364605,13.509874,1
Flughafen BER,506612,239728,52.364323,13.509145,
Flughafen Köln/Bonn Bf,,577278,50.878902,7.119301,1
Flughafen Wien,,131300,48.120903,16.56307,1
Flughafen Wien,131300,386608,48.120903,16.56307,
Forbach(F),,244447,49.189217,6.900258,1
Forbach(F),244447,464251,49.189217,6.900258,
Forbach(fr),,547177,49.21409,6.944314,1
Forbach(fr),547177,485867,49.21409,6.944314,
Frankfurt (Main) Flughafen Fernbahnhof,,565157,50.052914,8.569788,1
Frankfurt (Main) Flughafen Regionalbahnhof,,318591,50.0512,8.571423,1
Frankfurt (Main) Hauptbahnhof,,64702,50.107155,8.663759,1
Frankfurt (Main) Südbahnhof,,239072,50.099327,8.686442,1
Frankfurt (Main) Westbahnhof,,154911,50.119446,8.639455,1
"Frankfurt (Oder), Bahnhof",,629640,52.336708,14.547147,1
Frankfurt(M) Flughafen Fernbf,565157,47838,50.053165,8.570177,
Frankfurt(M) Flughafen Regionalbf,318591,163057,50.05114,8.5712,
Frankfurt(M) Flughafen Regionalbf,318591,298129,50.0512,8.571423,
Frankfurt(Main)Hbf,64702,207629,50.10652,8.662645,
Frankfurt(Main)Hbf,64702,303107,50.107033,8.662124,
Frankfurt(Main)Hbf,64702,335805,50.107098,8.662068,
Frankfurt(Main)Hbf,64702,368432,50.106003,8.663306,
Frankfurt(Main)Hbf,64702,379173,50.106148,8.663123,
Frankfurt(Main)Hbf,64702,391104,50.1062,8.663011,
Frankfurt(Main)Hbf,64702,406887,50.106754,8.662378,
Frankfurt(Main)Hbf,64702,409362,50.104183,8.659307,
Frankfurt(Main)Hbf,64702,410910,50.10587,8.663474,
Frankfurt(Main)Hbf,64702,464018,50.106102,8.663151,
Frankfurt(Main)Hbf,64702,470053,50.1063,8.662814,
Frankfurt(Main)Hbf,64702,47272,50.106262,8.662941,
Frankfurt(Main)Hbf,64702,483807,50.10662,8.662561,
Frankfurt(Main)Hbf,64702,508162,50.10577,8.663461,
Frankfurt(Main)Hbf,64702,524118,50.10696,8.662195,
Frankfurt(Main)Hbf,64702,579003,50.1069,8.662237,
Frankfurt(Main)Hbf,64702,587427,50.106686,8.662504,
Frankfurt(Main)Hbf,64702,606079,50.10636,8.662772,
Frankfurt(Main)Hbf,64702,6846,50.10647,8.662687,
Frankfurt(Main)Hbf,64702,87904,50.10681,8.66235,
Frankfurt(Main)Süd,239072,213008,50.099003,8.686179,
Frankfurt(Main)Süd,239072,419636,50.099205,8.685283,
Frankfurt(Main)Süd,239072,568781,50.099064,8.686108,
Frankfurt(Main)West,154911,384568,50.11939,8.638952,
Frankfurt(Oder),629640,214932,52.336563,14.545988,
Frankfurt(Oder),629640,564446,52.336643,14.54624,
Frankfurt(Oder),629640,60477,52.336605,14.546146,
Frankfurt(Oder)(Gr),,591119,52.321175,14.576403,1
Frankfurt(Oder)(Gr),591119,411414,52.321175,14.576403,
Fredericia st,,81172,55.56809,9.738813,1
Fredericia st,81172,482709,55.56809,9.738813,
Freiberg(Sachs),51307,115705,50.908737,13.344644,
Freiberg(Sachs),51307,123701,50.908634,13.344572,
"Freiberg, Bahnhof",,51307,50.90936,13.342219,1
Freiburg Hauptbahnhof,,317073,47.996616,7.840442,1
Freiburg(Breisgau) Hbf,317073,159737,47.997765,7.841295,
Freiburg(Breisgau) Hbf,317073,353300,47.99773,7.841511,
Freiburg(Breisgau) Hbf,317073,42524,47.997704,7.841619,
Freilassing,,51315,47.836914,12.977197,1
Freilassing,51315,356519,47.83703,12.976586,
Freilassing,51315,421304,47.836205,12.977997,
Freilassing Bahnhof,51315,581746,47.83622,12.977907,
Frick,,181310,47.507164,8.01268,1
Frick,181310,296958,47.507164,8.01268,
Friedberg (Hessen) Bahnhof,,388769,50.332745,8.761246,1
Friedrichsh. Stadtbahnhof,,299635,47.653057,9.473426,1
Friedrichshafen Stadt,299635,468806,47.653084,9.473498,
Fulda,500251,447987,50.555016,9.683904,
Fulda Bahnhof,,500251,50.55492,9.683761,1
Fürth (Bay) Hbf,,400206,49.469707,10.989989,1
Fürth Hauptbahnhof,400206,519349,49.470367,10.991229,
Fürth(Bay)Hbf,400206,565864,49.469738,10.990079,
"GD, Bahnhof",,406348,48.800285,9.787118,1
Garmisch-Partenkirchen,,603419,47.491455,11.097014,1
Garmisch-Partenkirchen,603419,342059,47.49119,11.098515,
Gdansk Glowny,,591035,54.35552,18.643803,1
Gdansk Glowny,591035,265072,54.35552,18.643803,
Gdansk Oliwa,,88453,54.409893,18.571741,1
Gdansk Oliwa,88453,504809,54.409893,18.571741,
Gdansk Wrzeszcz,,253223,54.38186,18.605434,1
Gdansk Wrzeszcz,253223,46745,54.38186,18.605434,
Gdynia Glowna,,606596,54.52084,18.529556,1
Gdynia Glowna,606596,99426,54.52084,18.529556,
Geilenkirchen,,307350,50.96104,6.124518,1
Geilenkirchen,307350,190712,50.96104,6.124518,
Gelsenkirchen Hbf,,387570,51.504925,7.102206,1
Gelsenkirchen Hbf,387570,178921,51.504814,7.103177,
Gelsenkirchen Hbf,387570,222069,51.5049,7.102455,
Gelsenkirchen Hbf,387570,224269,51.50504,7.103051,
Gelsenkirchen Hbf,387570,240137,51.50487,7.103141,
Gelsenkirchen Hbf,387570,345131,51.504982,7.103087,
Gelsenkirchen Hbf,387570,69152,51.505142,7.103015,
Gera Hbf,,395127,50.88342,12.077098,1
