route_id,service_id,trip_id
1,179,905722
1,413,248347
1,473,1190320
1,486,1265467
1,486,750801
1,486,818906
1,761,389858
10,106,1153190
10,106,1214898
10,106,337291
10,127,1166717
10,133,1151935
10,133,1155428
10,133,1186771
10,133,1428831
10,133,1545346
10,133,234417
10,133,418141
10,133,515620
10,133,547967
10,133,764564
10,133,800402
10,139,1062919
10,139,138770
10,139,161400
10,142,1075051
10,158,744062
10,161,253086
10,183,1484588
10,190,1455833
10,193,1442531
10,193,353850
10,201,183208
10,205,1109371
10,208,1103621
10,212,1479092
10,244,1060353
10,244,353121
10,248,575171
10,248,722309
10,249,1075421
10,249,913865
10,253,1077859
10,267,334349
10,27,676780
10,276,1495396
10,276,173208
10,283,1334182
10,283,1377769
10,283,16686
10,283,389657
10,283,807208
10,303,1392076
10,303,341105
10,303,882369
10,311,1303151
10,313,110826
10,331,1076204
10,331,1390253
10,331,843261
10,331,976258
10,351,1063938
10,351,1105750
10,351,959654
10,355,1233877
10,355,765295
10,358,1401516
10,358,331977
10,358,348163
10,358,448736
10,358,84716
10,358,875938
10,358,927713
10,358,997877
10,36,689339
10,396,2616
10,407,1197292
10,407,1416690
10,413,1309973
10,413,1456852
10,413,1487797
10,413,951109
10,414,3573
10,414,65019
10,422,1218189
10,436,1024079
10,436,1053612
10,436,1466313
10,436,197936
10,444,151877
10,451,1101043
10,456,350380
10,459,287403
10,461,246173
10,461,436268
10,461,765757
10,462,609527
10,473,1198368
10,473,1301111
10,473,1424940
10,473,1787
10,473,194482
10,473,228015
10,473,284186
10,473,489721
10,473,534386
10,473,776377
10,473,846029
10,479,1127468
10,479,763736
10,484,1438409
10,49,1380152
10,49,70048
10,517,311247
10,517,5326
10,517,57763
10,543,1205397
10,551,1042647
10,576,196177
10,576,780357
10,58,681954
10,581,187164
10,605,239086
10,61,1030340
10,634,1266988
10,634,20424
10,634,480826
10,634,949263
10,634,978862
10,639,127371
10,639,901284
10,64,480753
10,650,1322904
10,650,545391
10,651,649103
10,651,93080
10,66,820465
10,68,129626
10,69,641820
10,691,39772
10,701,1023228
10,701,418560
10,704,1390424
10,704,1504370
10,734,1059113
10,742,1192334
10,742,137061
10,742,395999
10,761,111511
10,761,1164894
10,761,1198530
10,761,1216777
10,761,1491611
10,761,180929
10,761,737871
10,761,92950
10,764,1168288
10,764,1389157
10,77,1122451
10,77,1299862
10,77,1301617
10,77,1491294
10,77,1491530
10,77,1529836
10,77,244129
10,77,32439
10,77,362086
10,77,508904
10,77,774155
10,77,89658
10,77,992681
10,783,1206224
10,787,966940
10,790,1226150
10,796,1258298
10,796,129829
10,796,33793
10,796,366954
10,796,929444
10,805,1177471
10,805,483387
10,805,5683
10,805,58172
10,805,929465
10,810,163724
10,810,74887
10,841,1166579
10,841,670670
10,844,1437747
10,850,1173493
10,855,346775
10,857,1046409
10,864,456257
10,864,521926
10,888,1054889
10,888,694729
10,888,990051
10,893,1540543
10,896,961510
10,898,475606
10,9,1099510
10,9,1437855
10,9,1516621
10,9,3112
10,9,449874
10,9,685895
10,9,92113
10,90,11431
10,90,1286743
10,90,609167
10,90,819892
10,90,882485
10,902,215915
10,903,800327
100,189,1056270
100,240,131925
100,253,530436
100,255,496814
100,331,162336
100,354,677525
100,449,1365574
100,451,393253
100,576,1435074
100,592,625725
100,661,508912
100,711,765546
100,715,926750
100,731,359082
100,776,1209571
100,844,899270
100,863,1490214
100,869,55493
100,879,580892
100,893,844816
100,919,1104724
100,96,1210677
101,100,370481
101,106,1023395
101,106,1240438
101,106,1404968
101,106,407342
101,133,1413098
101,133,322282
101,133,473666
101,133,475166
101,133,672810
101,133,746437
101,248,166022
101,248,745719
101,332,1448690
101,343,1162667
101,343,765821
101,377,1358966
101,406,59128
101,436,1137189
101,436,1355978
101,449,1266131
101,449,892250
101,456,596466
101,459,74035
101,459,898448
101,470,85080
101,473,1013606
101,473,311282
101,473,560294
101,479,1195356
101,479,1405807
101,479,361171
101,479,622027
101,479,890604
101,491,1099890
101,491,1107763
101,491,408086
101,491,639515
101,572,4947
101,64,197500
101,656,1009231
101,656,1141855
101,656,233360
101,656,836315
101,667,1231805
101,667,526857
101,667,843063
101,69,797074
101,701,343078
101,742,18641
101,742,249816
101,742,908695
101,744,105340
101,744,1109211
101,744,219864
101,758,1246978
101,758,1297786
101,758,927811
101,761,1041887
101,761,713520
101,77,469985
101,77,816578
101,836,1475880
101,907,306082
11,133,1368977
11,133,433068
11,139,717845
11,142,1144436
11,142,1378446
11,142,1465619
11,142,170465
11,142,480089
11,142,518810
11,142,741481
11,142,743112
11,142,990787
11,161,688607
11,162,1420224
11,211,1073109
11,215,11894
11,331,729831
11,331,851907
11,351,1179771
11,361,672402
11,361,776857
11,39,784404
11,414,895885
11,417,403060
11,417,710797
11,419,362551
11,419,741051
11,430,484442
11,436,1058061
11,436,1425667
11,444,589174
11,456,831451
11,461,584764
11,473,1260957
11,473,1264421
11,473,1417031
11,473,1432793
11,473,1474348
11,473,1504025
11,473,265542
11,473,351591
11,473,387388
11,473,395366
11,473,558656
11,473,715064
11,473,998323
11,482,53733
11,486,1192230
11,486,133324
11,486,1358297
11,486,1424858
11,486,407255
11,486,553798
11,486,674530
11,486,71540
11,486,817994
11,486,878777
11,518,210973
11,576,1260994
11,619,595612
11,634,508323
11,651,96012
11,652,189472
11,672,1210238
11,672,1385825
11,672,1491051
11,672,256852
11,672,435734
11,672,633300
11,672,658626
11,672,765939
11,672,790510
11,672,844460
11,678,1326506
11,687,1019225
11,687,1291270
11,687,1329608
11,687,1346232
11,687,1470209
11,687,191770
11,687,523093
11,687,701160
11,687,789589
11,687,891613
11,687,911187
11,691,1154651
11,691,1347044
11,691,1411932
11,691,1412186
11,691,169911
11,691,331317
11,691,417363
11,691,507095
11,691,507625
11,691,616447
11,691,656153
11,691,729529
11,691,984300
11,701,1208085
11,701,685303
11,742,109362
11,761,1030354
11,761,1095072
11,761,113223
11,761,123315
11,761,1341203
11,761,1429710
11,761,1485577
11,761,305962
11,761,839586
11,761,857409
11,761,859312
11,77,129144
11,77,275264
11,826,1157267
11,83,204016
11,844,601386
11,855,55402
11,864,786406
11,879,30363
11,888,1160701
11,888,275069
11,888,678831
11,903,1349248
11,903,824122
11,923,1445018
11,923,248018
12,106,910120
12,236,1362539
12,236,249916
12,236,747770
12,283,954759
12,325,93170
12,427,217375
12,469,1239466
12,500,1272274
12,500,1416069
12,500,1431880
12,500,1529642
12,500,176964
12,500,367695
12,567,600146
12,608,811491
12,742,299221
12,796,889772
12,799,367018
13,109,865483
13,139,787472
13,142,1093194
13,15,1368889
13,15,1535018
13,166,798387
13,194,629352
13,20,1281044
13,225,1281546
13,253,1514844
13,261,112055
13,265,210946
13,277,1154239
13,283,1303023
13,283,17978
13,283,512642
13,283,614919
13,283,88719
13,283,970109
13,302,1173043
13,302,119491
13,302,1538919
13,302,225065
13,302,2796
13,302,287996
13,302,292625
13,302,334156
13,302,7649
13,302,801057
13,321,192944
13,331,1490838
13,331,475109
13,351,658830
13,352,1262098
13,352,1487352
13,358,167069
13,358,595354
13,358,833599
13,372,1375446
